AATF	hsa-miR-2909	Activation
AATK	hsa-miR-1250-3p	Activation
AATK	hsa-miR-1250-5p	Activation
AATK	hsa-miR-338-3p	Activation
AATK	hsa-miR-338-5p	Activation
AATK	hsa-miR-657	Activation
ABCA6	hsa-miR-4524a-3p	Activation
ABCA6	hsa-miR-4524a-5p	Activation
ABCC10	hsa-miR-6780b-3p	Activation
ABCC10	hsa-miR-6780b-5p	Activation
ABCF1	hsa-miR-877-3p	Activation
ABCF1	hsa-miR-877-5p	Activation
ABHD16A	hsa-miR-4646-3p	Activation
ABHD16A	hsa-miR-4646-5p	Activation
ABLIM2	hsa-miR-95-3p	Activation
ABLIM2	hsa-miR-95-5p	Activation
ABR	hsa-miR-3183	Activation
AC000120.3	hsa-miR-1285-3p	Activation
AC000120.3	hsa-miR-1285-5p	Activation
AC004080.3	hsa-miR-196b-3p	Activation
AC004080.3	hsa-miR-196b-5p	Activation
AC005670.2	hsa-miR-5089-3p	Activation
AC005670.2	hsa-miR-5089-5p	Activation
AC008481.3	hsa-miR-7974	Activation
AC012531.3	hsa-miR-196a-3p	Activation
AC012531.3	hsa-miR-196a-5p	Activation
AC012531.3	hsa-miR-615-3p	Activation
AC012531.3	hsa-miR-615-5p	Activation
AC013394.1	hsa-miR-3175	Activation
AC018512.1	hsa-miR-1282	Activation
AC019257.8	hsa-miR-3674	Activation
AC019257.8	hsa-miR-596	Activation
AC020907.6	hsa-miR-6887-3p	Activation
AC020907.6	hsa-miR-6887-5p	Activation
AC022384.1	hsa-miR-12127	Activation
AC022506.1	hsa-miR-616-3p	Activation
AC022506.1	hsa-miR-616-5p	Activation
AC026316.4	hsa-miR-6828-3p	Activation
AC026316.4	hsa-miR-6828-5p	Activation
AC069288.1	hsa-miR-4655-3p	Activation
AC069288.1	hsa-miR-4655-5p	Activation
AC097634.4	hsa-miR-1284	Activation
AC112128.1	hsa-miR-8076	Activation
AC132217.2	hsa-miR-483-3p	Activation
AC132217.2	hsa-miR-483-5p	Activation
AC138969.1	hsa-miR-6511a-3p	Activation
AC138969.1	hsa-miR-6511a-5p	Activation
AC138969.1	hsa-miR-6770-3p	Activation
AC138969.1	hsa-miR-6770-5p	Activation
ACAP3	hsa-miR-6726-3p	Activation
ACAP3	hsa-miR-6726-5p	Activation
ACBD6	hsa-miR-3121-3p	Activation
ACBD6	hsa-miR-3121-5p	Activation
ACMSD	hsa-miR-5590-3p	Activation
ACMSD	hsa-miR-5590-5p	Activation
ACSS3	hsa-miR-4699-3p	Activation
ACSS3	hsa-miR-4699-5p	Activation
ADAMTSL1	hsa-miR-3152-3p	Activation
ADAMTSL1	hsa-miR-3152-5p	Activation
ADAMTSL4	hsa-miR-4257	Activation
ADCY6	hsa-miR-4701-3p	Activation
ADCY6	hsa-miR-4701-5p	Activation
ADCY7	hsa-miR-6771-3p	Activation
ADCY7	hsa-miR-6771-5p	Activation
ADGRB2	hsa-miR-4254	Activation
AFTPH	hsa-miR-4434	Activation
AGPAT1	hsa-miR-6721-5p	Activation
AGPAT5	hsa-miR-4659a-3p	Activation
AGPAT5	hsa-miR-4659a-5p	Activation
AIP	hsa-miR-6752-3p	Activation
AIP	hsa-miR-6752-5p	Activation
AK1	hsa-miR-4672	Activation
AKT2	hsa-miR-641	Activation
AL117348.2	hsa-miR-6741-3p	Activation
